Id,Time(seconds),Time(text),Latitude,Longitude,FlightMode,Altitude(feet),Altitude(meters),VpsAltitude(feet),VpsAltitude(meters),HSpeed(mph),HSpeed(m/s),GpsSpeed(mph),GpsSpeed(m/s),HomeDistance(feet),HomeDistance(meters),HomeLatitude,HomeLongitude,GpsCount,GpsLevel,BatteryPower(%),BatteryVoltage,BatteryVoltageDeviation,BatteryCell1Voltage,BatteryCell2Voltage,BatteryCell3Voltage,VelocityX,VelocityY,VelocityZ,Pitch,Roll,Yaw,Yaw(360),RcAileron,RcElevator,RcGyro,RcRudder,RcThrottle,NonGpsError,GoHomeStatus,AppTip,AppWarning,AppMessage
11,1.1,0m 1.1s,41.5831443,-109.29515832,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.4,0.1,41.5831434,-109.29515936,18,5,99,12.786,0.005,4.263,4.264,4.259,0,0,0,-3.6,-0.6,-47.5,312.5,1024,1024,1024,1024,1024,,,,,
12,1.2,0m 1.2s,41.58314432,-109.29515829,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.4,0.1,41.5831434,-109.29515936,18,5,99,12.786,0.005,4.263,4.264,4.259,0,0,0,-3.6,-0.6,-47.5,312.5,1024,1024,1024,1024,1024,,,Motors Started,,
13,1.3,0m 1.3s,41.58314432,-109.29515826,Manual Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.4,0.1,41.5831434,-109.29515936,18,5,99,12.786,0.005,4.263,4.264,4.259,0,0,0,-3.6,-0.5,-47.5,312.5,1024,1024,1024,1024,1024,,,,,
14,1.4,0m 1.4s,41.58314435,-109.29515822,Manual Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.5,0.2,41.5831434,-109.29515936,18,5,99,12.786,0.005,4.263,4.264,4.259,0,0,0,-3.6,-0.5,-47.5,312.5,1024,1024,1024,1024,1024,,,,,
15,1.5,0m 1.5s,41.58314438,-109.29515821,Manual Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.5,0.2,41.5831434,-109.29515936,18,5,99,12.786,0.005,4.263,4.264,4.259,0,0,0,-3.6,-0.6,-47.5,312.5,1024,1024,1024,1024,1024,,,,,
16,1.6,0m 1.6s,41.5831444,-109.29515819,Manual Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.4,0.1,41.5831434,-109.29515936,18,5,99,12.786,0.005,4.263,4.264,4.259,0,0,0,-3.6,-0.6,-47.5,312.5,1024,1024,1024,1024,1024,,,,,
17,1.7,0m 1.7s,41.58314442,-109.29515819,Manual Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.4,0.1,41.5831434,-109.29515936,18,5,99,12.786,0.005,4.263,4.264,4.259,0,0,0,-3.6,-0.6,-47.5,312.5,1024,1024,1024,1024,1024,,,,,
18,1.8,0m 1.8s,41.58314443,-109.29515817,Manual Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.4,0.1,41.5831434,-109.29515936,18,5,99,12.786,0.005,4.263,4.264,4.259,0,0,0,-3.6,-0.6,-47.5,312.5,1024,1024,1024,1024,1024,,,,,
19,2,0m 2s,41.58314443,-109.29515811,Manual Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.4,0.1,41.5831434,-109.29515936,18,5,99,12.786,0.005,4.263,4.264,4.259,0,0,0,-3.6,-0.6,-47.5,312.5,1024,1024,1024,1024,1024,,,,,
20,2.1,0m 2.1s,41.58314443,-109.29515809,Manual Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.4,0.1,41.5831434,-109.29515936,18,5,99,12.739,0.004,4.248,4.247,4.244,0,0,0,-3.6,-0.5,-47.5,312.5,1024,1024,1024,1024,1024,,,,,
21,2.2,0m 2.2s,41.58314442,-109.29515808,Manual Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.4,0.1,41.5831434,-109.29515936,18,5,99,12.739,0.004,4.248,4.247,4.244,0,0,0,-3.6,-0.6,-47.5,312.5,1024,1024,1024,1024,1024,,,,,
22,2.3,0m 2.3s,41.58314441,-109.29515808,Manual Takeoff,0.0,0.0,0.3,0.1,0.2,0.1,0.0,0.0,0.4,0.1,41.5831434,-109.29515936,18,5,99,12.739,0.004,4.248,4.247,4.244,-0.1,0,0,-3.6,-0.6,-47.5,312.5,1024,1024,1024,1024,1024,,,,,
23,2.4,0m 2.4s,41.5831444,-109.29515808,Manual Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.4,0.1,41.5831434,-109.29515936,18,5,99,12.739,0.004,4.248,4.247,4.244,0,0,0,-3.6,-0.6,-47.5,312.5,1024,1024,1024,1024,1024,,,,,
24,2.6,0m 2.6s,41.58314438,-109.29515809,Manual Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.5,0.2,41.5831434,-109.29515936,18,5,99,12.739,0.004,4.248,4.247,4.244,0,0,0,-3.6,-0.6,-47.5,312.5,1024,1024,1024,1024,1024,,,,,
25,2.7,0m 2.7s,41.58314438,-109.29515809,Manual Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.5,0.2,41.5831434,-109.29515936,18,5,99,12.739,0.004,4.248,4.247,4.244,0,0,0,-3.6,-0.5,-47.5,312.5,1024,1024,1024,1024,1024,,,,,
26,2.8,0m 2.8s,41.58314437,-109.2951581,Manual Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.4,0.1,41.5831434,-109.29515936,18,5,99,12.739,0.004,4.248,4.247,4.244,0,0,0,-3.6,-0.6,-47.5,312.5,1024,1024,1024,1024,1024,,,,,
27,2.9,0m 2.9s,41.58314437,-109.29515811,Manual Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.4,0.1,41.5831434,-109.29515936,18,5,99,12.739,0.004,4.248,4.247,4.244,0,0,0,-3.6,-0.6,-47.5,312.5,1024,1024,1024,1024,1024,,,,,
28,3,0m 3s,41.58314434,-109.29515812,Manual Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,1.1,0.5,0.4,0.1,41.5831434,-109.29515936,18,5,99,12.739,0.004,4.248,4.247,4.244,0,0,0,-3.6,-0.6,-47.5,312.5,1024,1024,1024,1024,1024,,,,,
29,3.1,0m 3.1s,41.5831443,-109.29515813,Manual Takeoff,0.0,0.0,0.3,0.1,0.2,0.1,0.0,0.0,0.4,0.1,41.5831434,-109.29515936,18,5,99,12.753,0.005,4.253,4.252,4.248,-0.1,0,0,-3.6,-0.5,-47.5,312.5,1024,1024,1024,1024,1024,,,,,
30,3.2,0m 3.2s,41.58314427,-109.29515814,Manual Takeoff,0.0,0.0,0.3,0.1,0.2,0.1,0.0,0.0,0.3,0.1,41.5831434,-109.29515936,18,5,99,12.753,0.005,4.253,4.252,4.248,-0.1,0,0,-3.6,-0.6,-47.5,312.5,1024,1024,1024,1024,1024,,,,,
31,3.3,0m 3.3s,41.58314425,-109.29515814,Manual Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.4,0.1,41.5831434,-109.29515936,18,5,99,12.753,0.005,4.253,4.252,4.248,0,0,0,-3.6,-0.6,-47.5,312.5,1024,1024,1024,1024,1024,,,,,
32,3.4,0m 3.4s,41.58314423,-109.29515815,Manual Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.4,0.1,41.5831434,-109.29515936,18,5,99,12.753,0.005,4.253,4.252,4.248,0,0,0,-3.6,-0.6,-47.5,312.5,1024,1024,1024,1024,1024,,,,,
33,3.5,0m 3.5s,41.58314422,-109.29515815,Manual Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.4,0.1,41.5831434,-109.29515936,18,5,99,12.753,0.005,4.253,4.252,4.248,0,0,0,-3.6,-0.6,-47.5,312.5,1024,1024,1024,1024,1024,,,,,
34,3.6,0m 3.6s,41.58314419,-109.29515815,Manual Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.4,0.1,41.5831434,-109.29515936,18,5,99,12.753,0.005,4.253,4.252,4.248,0,0,0,-3.6,-0.6,-47.4,312.6,1024,1024,1024,1024,1024,,,,,
35,3.7,0m 3.7s,41.58314415,-109.29515815,Manual Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.4,0.1,41.5831434,-109.29515936,18,5,99,12.753,0.005,4.253,4.252,4.248,0,0,0,-3.6,-0.6,-47.4,312.6,1024,1024,1024,1024,1024,,,,,
36,3.8,0m 3.8s,41.58314412,-109.29515817,Manual Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.4,0.1,41.5831434,-109.29515936,18,5,99,12.753,0.005,4.253,4.252,4.248,0,0,0,-3.5,-0.6,-47.4,312.6,1024,1024,1024,1024,1024,,,,,
37,3.9,0m 3.9s,41.5831441,-109.2951582,Manual Takeoff,0.0,0.0,0.3,0.1,0.2,0.1,1.1,0.5,0.4,0.1,41.5831434,-109.29515936,18,5,99,12.753,0.005,4.253,4.252,4.248,-0.1,0,0,-3.6,-0.6,-47.4,312.6,1024,1024,1024,1024,1024,,,,,
38,4,0m 4s,41.58314409,-109.29515824,Manual Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.4,0.1,41.5831434,-109.29515936,18,5,99,12.753,0.005,4.253,4.252,4.248,0,0,0,-3.6,-0.6,-47.4,312.6,1024,1024,1024,1024,1024,,,,,
39,4.1,0m 4.1s,41.58314408,-109.29515825,Manual Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.4,0.1,41.5831434,-109.29515936,18,5,99,12.753,0.005,4.253,4.252,4.248,0,0,0,-3.6,-0.6,-47.4,312.6,1024,1024,1024,1024,1024,,,,,
40,4.2,0m 4.2s,41.58314407,-109.29515827,Manual Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.4,0.1,41.5831434,-109.29515936,18,5,99,12.753,0.005,4.253,4.252,4.248,0,0,0,-3.6,-0.6,-47.4,312.6,1024,1024,1024,1024,1024,,,,,
41,4.3,0m 4.3s,41.58314407,-109.29515828,Manual Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.4,0.1,41.5831434,-109.29515936,18,5,99,12.753,0.005,4.253,4.252,4.248,0,0,0,-3.6,-0.6,-47.4,312.6,1024,1024,1024,1024,1024,,,,,
42,4.4,0m 4.4s,41.58314406,-109.29515831,Manual Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.4,0.1,41.5831434,-109.29515936,18,5,99,12.753,0.005,4.253,4.252,4.248,0,0,0,-3.6,-0.6,-47.4,312.6,1024,1024,1024,1024,1185,,,,,
43,4.5,0m 4.5s,41.58314403,-109.29515835,Manual Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.4,0.1,41.5831434,-109.29515936,18,5,99,12.751,0.006,4.253,4.251,4.247,0,0,0,-3.6,-0.6,-47.4,312.6,1024,1024,1024,1024,1684,,,,,
44,4.6,0m 4.6s,41.583144,-109.29515838,Manual Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.3,0.1,41.5831434,-109.29515936,18,5,99,12.751,0.006,4.253,4.251,4.247,0,0,0,-3.6,-0.5,-47.4,312.6,1024,1024,1024,1071,1684,,,,,
45,4.7,0m 4.7s,41.58314399,-109.2951584,Manual Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.3,0.1,41.5831434,-109.29515936,18,5,99,12.751,0.006,4.253,4.251,4.247,0,0,0,-3.6,-0.6,-47.4,312.6,1024,1024,1024,1036,1684,,,,,
46,4.8,0m 4.8s,41.58314398,-109.29515841,Manual Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.4,0.1,41.5831434,-109.29515936,18,5,99,12.751,0.006,4.253,4.251,4.247,0,0,0,-3.6,-0.6,-47.4,312.6,1024,1024,1024,1028,1684,,,,,
47,4.9,0m 4.9s,41.58314397,-109.29515842,Manual Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.4,0.1,41.5831434,-109.29515936,18,5,99,12.751,0.006,4.253,4.251,4.247,0,0,0,-4.1,-0.5,-47.1,312.9,1024,1024,1024,1027,1684,,,,,
48,5,0m 5s,41.58314398,-109.29515848,Manual Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.4,0.1,41.5831434,-109.29515936,18,5,99,12.751,0.006,4.253,4.251,4.247,0,0,0,-6.3,-0.2,-46.8,313.2,1024,1024,1024,1028,1684,,,,,
49,5.1,0m 5.1s,41.58314404,-109.29515866,Manual Takeoff,0.0,0.0,0.7,0.2,0.2,0.1,0.0,0.0,0.4,0.1,41.5831434,-109.29515936,18,5,99,12.751,0.006,4.253,4.251,4.247,0,-0.1,-0.2,-7,0.2,-46.8,313.2,1024,1024,1024,1031,1684,,,,,
50,5.2,0m 5.2s,41.58314416,-109.29515901,P-GPS,0.0,0.0,0.7,0.2,0.7,0.3,0.0,0.0,0.0,0.0,41.5831434,-109.29515936,18,5,99,12.751,0.006,4.253,4.251,4.247,0.1,-0.3,-0.3,-3.5,0.4,-47,313,1024,1024,1024,1043,1684,,,,,
51,5.3,0m 5.3s,41.58314434,-109.29515946,P-GPS,0.0,0.0,0.7,0.2,1.0,0.5,1.1,0.5,0.3,0.1,41.5831434,-109.29515936,18,5,99,12.751,0.006,4.253,4.251,4.247,0.2,-0.4,-0.4,0.6,0.8,-47.1,312.9,1024,1024,1024,1052,1684,,,,,
52,5.4,0m 5.4s,41.58314452,-109.29515997,P-GPS,0.0,0.0,1.0,0.3,1.0,0.5,0.0,0.0,0.4,0.1,41.5831434,-109.29515936,18,5,99,12.751,0.006,4.253,4.251,4.247,0.2,-0.4,-0.6,4,0.5,-47,313,1024,1024,1024,1069,1684,,,,,
53,5.5,0m 5.5s,41.58314464,-109.29516044,P-GPS,0.3,0.1,1.3,0.4,0.7,0.3,1.1,0.5,0.5,0.2,41.5831434,-109.29515936,18,5,99,12.751,0.006,4.253,4.251,4.247,0.1,-0.3,-0.9,4.5,0.8,-47.2,312.8,1024,1024,1024,1024,1684,,,,,
54,5.6,0m 5.6s,41.58314462,-109.29516086,P-GPS,0.7,0.2,1.6,0.5,0.4,0.2,0.0,0.0,0.6,0.2,41.5831434,-109.29515936,18,5,99,12.751,0.006,4.253,4.251,4.247,0,-0.2,-1.2,3.5,1.5,-47.4,312.6,1024,1024,1024,1209,1684,,,,,
55,5.7,0m 5.7s,41.5831445,-109.29516119,P-GPS,1.3,0.4,,,0.3,0.1,1.1,0.5,0.6,0.2,41.5831434,-109.29515936,18,5,99,12.751,0.006,4.253,4.251,4.247,-0.1,-0.1,-1.6,1.7,2.5,-47.3,312.7,1024,1024,1024,1024,1684,,,,,
56,5.8,0m 5.8s,41.58314432,-109.29516145,P-GPS,2.0,0.6,,,0.3,0.1,0.0,0.0,0.6,0.2,41.5831434,-109.29515936,18,5,99,12.751,0.006,4.253,4.251,4.247,-0.1,-0.1,-2,0.5,2.4,-47.4,312.6,1024,1024,1024,1024,1024,,,,,
57,5.9,0m 5.9s,41.58314414,-109.29516163,P-GPS,2.6,0.8,,,0.3,0.1,0.0,0.0,0.6,0.2,41.5831434,-109.29515936,18,5,99,12.751,0.006,4.253,4.251,4.247,-0.1,-0.1,-2.4,0,2.8,-47.3,312.7,1024,1024,1024,1024,1024,,,,,
58,6,0m 6s,41.58314391,-109.29516172,P-GPS,3.6,1.1,,,0.2,0.1,1.1,0.5,0.6,0.2,41.5831434,-109.29515936,17,5,99,12.751,0.006,4.253,4.251,4.247,-0.1,0,-2.5,0.3,3.1,-47.3,312.7,1024,1024,1024,1024,1024,,,,,
59,6.1,0m 6.1s,41.58314369,-109.29516177,P-GPS,4.3,1.3,4.6,1.4,0.2,0.1,0.0,0.0,0.6,0.2,41.5831434,-109.29515936,17,5,99,12.751,0.006,4.253,4.251,4.247,-0.1,0,-2.5,0.5,3.5,-47.2,312.8,1024,1024,1024,1024,1024,,,,,
60,6.2,0m 6.2s,41.58314348,-109.29516177,P-GPS,5.2,1.6,5.2,1.6,0.2,0.1,0.0,0.0,0.9,0.3,41.58314402,-109.2951586,18,5,99,12.751,0.006,4.253,4.251,4.247,-0.1,0,-2.3,0.2,3.6,-47.2,312.8,1024,1024,1024,1024,1024,,,,,Home Point Updated
61,6.3,0m 6.3s,41.58314329,-109.29516178,P-GPS,5.9,1.8,5.9,1.8,0.2,0.1,0.0,0.0,1.0,0.3,41.58314402,-109.2951586,18,5,99,12.356,0.033,4.14,4.107,4.109,-0.1,0,-2,0,3.7,-47.2,312.8,1024,1024,1024,1024,1024,,,,,
62,6.4,0m 6.4s,41.58314309,-109.29516178,P-GPS,6.6,2.0,6.6,2.0,0.2,0.1,0.0,0.0,0.9,0.3,41.58314402,-109.2951586,18,5,99,12.356,0.033,4.14,4.107,4.109,-0.1,0,-1.7,-0.4,3.4,-47.2,312.8,1024,1024,1024,1024,1024,,,,,
63,6.5,0m 6.5s,41.58314288,-109.29516179,P-GPS,7.2,2.2,6.9,2.1,0.2,0.1,0.0,0.0,1.0,0.3,41.58314402,-109.2951586,18,5,99,12.356,0.033,4.14,4.107,4.109,-0.1,0,-1.3,-1,3.6,-47.3,312.7,1024,1024,1024,1024,1024,,,,,
64,6.6,0m 6.6s,41.58314266,-109.2951618,P-GPS,7.5,2.3,7.2,2.2,0.2,0.1,0.0,0.0,1.0,0.3,41.58314402,-109.2951586,18,5,99,12.356,0.033,4.14,4.107,4.109,-0.1,0,-0.9,-1.3,3.7,-47.3,312.7,1024,1024,1024,1024,1024,,,,,
65,6.7,0m 6.7s,41.58314244,-109.29516182,P-GPS,7.5,2.3,7.5,2.3,0.2,0.1,0.0,0.0,1.1,0.3,41.58314402,-109.2951586,18,5,99,12.356,0.033,4.14,4.107,4.109,-0.1,0,-0.5,-1.8,3.8,-47.3,312.7,1024,1024,1024,1024,1024,,,,,
66,6.8,0m 6.8s,41.58314228,-109.29516178,P-GPS,7.9,2.4,7.5,2.3,0.2,0.1,0.0,0.0,1.1,0.3,41.58314402,-109.2951586,18,5,99,12.356,0.033,4.14,4.107,4.109,-0.1,0,-0.2,-2.4,3.6,-47.3,312.7,1024,1024,1024,1024,1024,,,,,
67,7,0m 7s,41.58314206,-109.29516173,P-GPS,7.9,2.4,7.5,2.3,0.2,0.1,0.0,0.0,1.1,0.3,41.58314402,-109.2951586,18,5,99,12.356,0.033,4.14,4.107,4.109,-0.1,0,0,-2.5,3.4,-47.2,312.8,1024,1024,1024,1024,1024,,,,,
68,7.1,0m 7.1s,41.58314199,-109.29516176,P-GPS,7.9,2.4,7.5,2.3,0.2,0.1,0.0,0.0,1.2,0.4,41.58314402,-109.2951586,18,5,99,12.356,0.033,4.14,4.107,4.109,-0.1,0,0,-2.3,3.5,-47.3,312.7,1024,1024,1024,1024,1024,,,,,
69,7.2,0m 7.2s,41.58314199,-109.2951618,P-GPS,7.9,2.4,7.5,2.3,0.2,0.1,0.0,0.0,1.2,0.4,41.58314402,-109.2951586,18,5,99,12.356,0.033,4.14,4.107,4.109,-0.1,0,0,-2.2,3.6,-47.3,312.7,1024,1024,1024,1024,1024,,,,,
70,7.3,0m 7.3s,41.58314199,-109.29516184,P-GPS,7.5,2.3,7.5,2.3,0.0,0.0,0.0,0.0,1.2,0.4,41.58314402,-109.2951586,18,5,99,12.356,0.033,4.14,4.107,4.109,0,0,0.1,-1.9,3.4,-47.3,312.7,1024,1024,1024,1024,1024,,,,,
71,7.4,0m 7.4s,41.58314204,-109.29516189,P-GPS,7.2,2.2,7.5,2.3,0.0,0.0,0.0,0.0,1.1,0.3,41.58314402,-109.2951586,18,5,99,12.403,0.026,4.15,4.124,4.129,0,0,0.1,-2,3.6,-47.2,312.8,1024,1024,1024,1024,1024,,,,,
72,7.5,0m 7.5s,41.58314207,-109.29516195,P-GPS,7.2,2.2,7.5,2.3,0.0,0.0,0.0,0.0,1.2,0.4,41.58314402,-109.2951586,18,5,99,12.403,0.026,4.15,4.124,4.129,0,0,0.1,-1.5,3.4,-47.2,312.8,1024,1024,1024,1024,1024,,,,,
73,7.6,0m 7.6s,41.58314212,-109.29516198,P-GPS,7.2,2.2,7.5,2.3,0.0,0.0,0.0,0.0,1.1,0.3,41.58314402,-109.2951586,18,5,99,12.403,0.026,4.15,4.124,4.129,0,0,0,-1.2,3.6,-47.2,312.8,1024,1024,1024,1024,1024,,,,,
74,7.7,0m 7.7s,41.58314213,-109.29516199,P-GPS,7.2,2.2,7.5,2.3,0.0,0.0,1.1,0.5,1.2,0.4,41.58314402,-109.2951586,18,5,99,12.403,0.026,4.15,4.124,4.129,0,0,0,-1.3,3.9,-47.2,312.8,1024,1024,1024,1024,1024,,,,,
75,7.8,0m 7.8s,41.58314212,-109.29516199,P-GPS,7.2,2.2,7.5,2.3,0.0,0.0,0.0,0.0,1.1,0.3,41.58314402,-109.2951586,18,5,99,12.403,0.026,4.15,4.124,4.129,0,0,0,-1.5,3.9,-47.2,312.8,1024,1024,1024,1024,1024,,,,,
76,7.9,0m 7.9s,41.58314209,-109.29516199,P-GPS,7.2,2.2,7.2,2.2,0.0,0.0,0.0,0.0,1.2,0.4,41.58314402,-109.2951586,18,5,99,12.403,0.026,4.15,4.124,4.129,0,0,0,-1.7,4,-47.2,312.8,1024,1024,1024,1024,1024,,,,,
77,8,0m 8s,41.58314204,-109.29516199,P-GPS,7.2,2.2,7.5,2.3,0.0,0.0,0.0,0.0,1.2,0.4,41.58314402,-109.2951586,18,5,99,12.403,0.026,4.15,4.124,4.129,0,0,0,-1.8,4,-47.3,312.7,1024,1024,1024,1024,1024,,,,,
78,8.1,0m 8.1s,41.58314199,-109.29516199,P-GPS,7.2,2.2,7.5,2.3,0.0,0.0,0.0,0.0,1.2,0.4,41.58314402,-109.2951586,18,5,99,12.403,0.026,4.15,4.124,4.129,0,0,0,-1.7,3.9,-47.3,312.7,1024,1024,1024,1024,1024,,,,,
79,8.2,0m 8.2s,41.58314194,-109.29516197,P-GPS,7.2,2.2,7.5,2.3,0.0,0.0,0.0,0.0,1.2,0.4,41.58314402,-109.2951586,18,5,99,12.403,0.026,4.15,4.124,4.129,0,0,0,-1.6,4,-47.2,312.8,1024,1024,1024,1024,1024,,,,,
80,8.3,0m 8.3s,41.58314191,-109.29516195,P-GPS,7.2,2.2,7.5,2.3,0.0,0.0,0.0,0.0,1.2,0.4,41.58314402,-109.2951586,18,5,99,12.403,0.026,4.15,4.124,4.129,0,0,0,-1.5,3.7,-47.3,312.7,1024,1024,1024,1024,1024,,,,,
81,8.4,0m 8.4s,41.58314188,-109.29516192,P-GPS,7.2,2.2,7.5,2.3,0.0,0.0,0.0,0.0,1.2,0.4,41.58314402,-109.2951586,18,5,99,12.403,0.026,4.15,4.124,4.129,0,0,0,-1.4,3.4,-47.4,312.6,1024,1024,1024,1024,1024,,,,,
82,8.5,0m 8.5s,41.58314186,-109.29516188,P-GPS,7.2,2.2,7.5,2.3,0.0,0.0,0.0,0.0,1.2,0.4,41.58314402,-109.2951586,18,5,99,12.403,0.026,4.15,4.124,4.129,0,0,0,-1.2,3.3,-47.3,312.7,1024,1024,1024,1024,1024,,,,,
83,8.6,0m 8.6s,41.58314183,-109.29516186,P-GPS,7.2,2.2,7.5,2.3,0.0,0.0,0.0,0.0,1.2,0.4,41.58314402,-109.2951586,18,5,99,12.403,0.026,4.15,4.124,4.129,0,0,0,-1.7,3.4,-47.3,312.7,1024,1024,1024,1024,1024,,,,,
84,8.7,0m 8.7s,41.58314183,-109.29516183,P-GPS,7.2,2.2,7.5,2.3,0.0,0.0,0.0,0.0,1.2,0.4,41.58314402,-109.2951586,18,5,99,12.3,0.032,4.118,4.086,4.096,0,0,0,-2,3.3,-47.3,312.7,995,1024,1024,1024,1024,,,,,
